t_id;c_ticker;c_name;industry;mcap_m1;mcap_log;mcap_group;large_cap;mid_cap;small_cap;ebitda_margin;debt_ebitda;cash_assets_ratio;pb_ratio;announced_date;target_public;cash_payment_pct;deal_mcap;cross_border;car_1;car_2;car_1_beta_adjusted;car_2_beta_adjusted
IQTR1874734898;AZN;AstraZeneca PLC (LSE:AZN);Health Care;207489,1557;12,24283436;large;1;0;0;31,0493;167,2455006;5,77537357;205,1930455;2024-03-14 00:00:00;0;100;0,506050544;1;0,930889168;1,558997945;0,142329926;0,244732543
IQTR1874738709;DEVP B;DevPort AB  (OM:DEVP B);Information Technology;33,22911428;3,503426428;small;0;0;1;8,0588;-62,46667271;14,76927717;117,8995868;2024-02-29 00:00:00;0;100;1,742447888;0;-1,804011107;-2,97555476;-1,250470985;-2,052987889
IQTR1874740309;SHA0;Schaeffler AG (XTRA:SHA0);Consumer Discretionary;4535,83296;8,419764019;large;1;0;0;11,3529;185,0431967;5,121204071;27,3279707;2024-02-26 00:00:00;0;;25,0622104;0;-0,481095062;-0,843051497;-0,633858722;-1,097657597
IQTR1874874261;QTRH;Quarterhill Inc. (TSX:QTRH);Information Technology;161,1253647;5,082182725;small;0;0;1;-0,368;-4260,566038;17,05030144;64,28839629;2024-03-15 00:00:00;0;;6,33047442;1;0,538345615;0,870818216;0,471857462;0,760004627
IQTR1874877223;SIMINN;Síminn hf. (ICSE:SIMINN);Communication Services;181,4900058;5,201200588;mid;0;1;0;21,1672;164,3422485;5,356772734;73,15676356;2024-01-18 00:00:00;0;;20,640255;0;0,785393862;1,291616739;-0,117727298;-0,213585196
IQTR1874885538;ARCH;Archer Limited (OB:ARCH);Energy;177,0266932;5,17630053;small;0;0;1;11,932;345,025729;5,752456663;19,54584225;2024-03-15 00:00:00;0;100;1,333132285;0;0,442607251;0,776917781;0,065139145;0,147804271
IQTR1874992744;MER;Meren Energy Inc. (TSX:MER);Utilities;7197,697446;8,881516455;large;1;0;0;13,386;19,85786918;14,06937735;67,76502171;2024-03-18 00:00:00;0;100;0,889173246;1;-0,779288982;-1,288139255;-0,018674326;-0,020448161
IQTR1874997509;VCIG;VCI Global Limited (NasdaqCM:VCIG);Industrials;67,62001082;4,213903957;small;0;0;1;36,9006;-15,76393462;3,928306893;262,780981;2024-03-18 00:00:00;0;;7,394260869;1;-0,802731174;-1,296678866;-1,08050585;-1,759636659
IQTR1875029093;ILM1;Medios AG (XTRA:ILM1);Health Care;360,3000483;5,886937152;mid;0;1;0;2,7254;-110,7954315;11,94445464;54,80652528;2024-03-18 00:00:00;0;90,87;78,13210165;1;-0,508591359;-1,091555276;-0,540031173;-1,143954967
IQTR1875071766;GM;Gentili Mosconi S.p.A. (BIT:GM);Consumer Discretionary;46402,66685;10,74511221;large;1;0;0;9,1851;644,6147998;4,963305306;16,99333008;2024-03-18 00:00:00;0;100;0,000609879;0;-0,747850198;-1,227534531;-0,982036113;-1,617844389
IQTR1875106320;WIX;Wickes Group plc (LSE:WIX);Information Technology;7753,353641;8,955880757;large;1;0;0;2,0795;-96,62509623;33,79024641;429,7543889;2024-03-19 00:00:00;0;100;0,674417838;0;0,057797869;0,052314956;0,062739856;0,060551601
IQTR1875139689;TCF;Theracryf Plc (AIM:TCF);Health Care;5,166624021;1,642219481;small;0;0;1;;50,84363939;65,44751092;132,469387;2024-03-19 00:00:00;0;8,1;85,16199325;0;0,012363489;0,016248417;0,018297816;0,026138962
IQTR1875140905;MTRS;Munters Group AB  (OM:MTRS);Industrials;3396,437386;8,130482334;large;1;0;0;13,4529;230,469589;9,156655453;204,1532703;2024-03-19 00:00:00;0;100;0,654803769;1;0,015806159;0,025317407;0,011119027;0,017505519
IQTR1875148512;SHL;Sonic Healthcare Limited (ASX:SHL);Health Care;67858,52843;11,12518035;large;1;0;0;14,9869;445,0367645;3,219784322;134,8347515;2024-03-20 00:00:00;0;74,83;0,192341336;1;-2,713094526;-4,52898015;-2,31188204;-3,860292674
